Item Name,Price,Tax Rate
"Paneer Methi Malai - D",409,5
"Harayali Paneer Tikka  - D",349,5
"Malai Paneer Tikka - D",349,5
"Achari Paneer Tikka  - D",349,5
"Tandoori Paneer Tikka - D",349,5
"Harayali Soya Chaap - D",329,5
"Malai Soya Chap  - D",329,5
"Achari Soya Chap  - D",329,5
"Malai Broccoli  - D",399,5
"Veg Seekh Kebab - D",289,5
"Dahi Ke Sholey  - D",289,5
"Dahi Kebab  - D",299,5
"Spring Roll - D",169,5
"Paneer Momos - D",149,5
"Veg Momos  - D",129,5
"Chillly Potato - D",159,5
"Honey Chilly Potato - D",209,5
"Dragon Chilly Paneer - D",285,5
"Paneer Kungpao - D",329,5
"Pan Fried Noodles - D",199,5
"Singapori Noodles - D",169,5
"Schezwan Noodles - D",191,5
"Chilly Garlic Noodles - D",159,5
"Veg Noodles - D",159,5
"Chilly Mushroom (Dry)  - D",249,5
"Veg Fried Rice - D",189,5
"Crispy Corn - D",189,5
"Veg Salt & Pepper - D",229,5
"Veg Hakka Noodles - D",159,5
"Tomato Soup - D",169,5
"Manchow Soup - D",159,5
"Veg Clear Soup - D",159,5
"Veg Thupka Soup - D",169,5
"Lemon Coriander Soup - D",159,5
"Hot & Sour Soup - D",159,5
"Sweet Corn Soup - D",159,5
"Tandoori Butter Roti - D",20,5
"Laccha Parantha - D",89,5
"Stuffeed Naan - D",149,5
"Butter Naan - D",99,5
"Garlic Naan - D",129,5
"Plain Naan - D",79,5
"Veg Pulao - D",199,5
"Jeera Rice - D",159,5
"Veg Biryani - D",309,5
"Plain Rice - D",149,5
"Kashmiri Pulao - D",329,5
"Boondi  Raita - D",129,5
"Pineapple Raita - D",149,5
"Mix Veg Raita - D",139,5
"Tandoori Momos - D",189,5
"Afghani Momos - D",189,5
"Pav Bhaji - D",159,5
"Chole Bhature - D",139,5
"Dahi Bhalla (Our Spl.) - D",129,5
"Noodles - D",0,5
"MILK - D",0,5
"Elaichi chai - D",55,5
"Masala chai - D",75,5
"Cold Coffee - D",129,5
"Tandoori Roti - D",18,5
"French Fries - D",99,5
"Ice Cream - D",40,5
"cheesy Fries - D",159,5
"soft drink - D",20,5
"Green Salad - D",149,5
"Cesar Salad - D",249,5
"Russian Salad - D",199,5
"Chilli Paneer(DRY) - D",239,5
"Chilly Paneer(Gravy) - D",249,5
"Gajar Halwa - D",60,5
"White Sauce Pasta - D",229,5
"Red Sauce Pasta - D",219,5
"Bharwa Gol Gappa - D",109,5
"Papdi Chat - D",89,5
"Jeera Rice + Dal Makhani",289,5
"Butter Naan (1pc) + Butter Roti (1pc) + Amritsari Chole",289,5
"Lacha Paratha (2pcs) + Amritsari Chole",289,5
"Butter Naan (1pc) + Butter Roti (1pc) + Chaap Masala",289,5
"Lacha Paratha (2pcs) + Chana Masala",289,5
"Butter Naan (1pc) + Butter Roti (1pc) + Paneer Lababdar",289,5
"Lacha Paratha (2pcs) + Paneer Lababdar",289,5
"Jeera Rice + Dal Tadka",199,5
"Noodles + Chilli Paneer (Gravy)",249,5
"Noodles + Manchurian (Gravy)",249,5
"Fried Rice + Chilli Paneer (Gravy)",249,5
"Fried Rice + Manchurian (Gravy)",249,5
"Papdi Chat",89,5
"Bharwa Gol Gappa",109,5
"Red Sauce Pasta",219,5
"White Sauce Pasta",199,5
"Gajar Halwa",60,5
"Chilli Paneer(Gravy)",259,5
"Chilli Paneer(DRY)",239,5
"Russian Salad",199,5
"Cesar Salad",249,5
"Green Salad",149,5
"Coca Cola",20,40
"cheesy Fries",159,5
"Ice Cream",40,5
"French Fries",99,5
"Tandoori Roti",18,5
"Hot Coffee",139,5
"Masala chai",75,5
"Elaichi chai",65,5
"MILK",0,5
"Noodles",0,5
"Dahi Bhalla (Our Spl.)",129,5
"Chole Bhature",139,5
"Pav Bhaji",199,5
"Afghani Momos",229,5
"Tandoori Momos",189,5
"Mix Veg Raita",139,5
"Pineapple Raita",149,5
"Boondi  Raita",129,5
"Kashmiri Pulao",329,5
"Plain Rice",149,5
"Veg Biryani",309,5
"Jeera Rice",159,5
"Veg Pulao",199,5
"Plain Naan",79,5
"Garlic Naan",129,5
"Butter Naan",99,5
"Stuffeed Naan",149,5
"Laccha Parantha",89,5
"Tandoori Butter Roti",20,5
"Sweet Corn Soup",200,5
"Hot & Sour Soup",200,5
"Lemon Coriander Soup",200,5
"Veg Thupka Soup",200,5
"Veg Clear Soup",200,5
"Manchow Soup",200,5
"Tomato Soup",200,5
"Veg Hakka Noodles",159,5
"Veg Salt & Pepper",229,5
"Crispy Corn",189,5
"Veg Fried Rice",189,5
"Chilly Mushroom (Dry)",249,5
"Veg Noodles",199,5
"Chilly Garlic Noodles",159,5
"Schezwan Noodles",239,5
"Singapori Noodles",219,5
"Pan Fried Noodles",199,5
"Paneer Kungpao",329,5
"Dragon Chilly Paneer",285,5
"Honey Chilly Potato",259,5
"Chillly Potato",159,5
"Veg Momos",129,5
"Paneer Momos",149,5
"Spring Roll",169,5
"Dahi Kebab",299,5
"Dahi Ke Sholey",289,5
"Veg Seekh Kebab",289,5
"Malai Broccoli",399,5
"Achari Soya Chap",329,5
"Malai Soya Chap",399,5
"Harayali Soya Chaap",329,5
"Tandoori Paneer Tikka",349,5
"Achari Paneer Tikka",349,5
"Malai Paneer Tikka",349,5
"Harayali Paneer Tikka",349,5
"Paneer Methi Malai",409,5
"Paneer Lehsuni",389,5
"Palak Paneer",409,5
"Matar Paneer",399,5
"Shahi Paneer",409,5
"Kadhai Paneer",399,5
"Paneer Bhurji",399,5
"Paneer Lababdar",399,5
"Paneer Butter Masala",409,5
"Paneer Do Pyaza",399,5
"Kadhai Mushroom",349,5
"Mushroom Masala",349,5
"Sarso Da Saag (Seasonal)",369,5
"Masala Aloo Gobhi",329,5
"Aloo Jeera",229,5
"Nargese Kofta",329,5
"Veg Kofta",329,5
"Malai Kofta",349,5
"Mix Vegetable",299,5
"Palak Corn",359,5
"Paneer Noor -Rani",389,5
"Paneer Adraki",389,5
"Veg Kohlapuri (Chef Special)",359,5
"Lacha Paneer",399,5
"Handi Paneer",389,5
"Paneer Tikka Butter Masala",409,5
"Amritsari Chole",349,5
"Chaap Butter Masala",379,5
"Soya Chaap Masala",359,5
"Tawa Chaap",349,5
"Dal Handi",249,5
"Dal Makhani",329,5
"Dal Tadka",259,5
